id,P1,P2,P3,P4,D1,D2,D3,D5,D7,D9,D10,D11,R1[SQ001],R1[SQ002],R1[SQ003],R1[SQ004],R1[SQ005],R1[SQ006],R2[SQ001],R2[SQ002],R2[SQ003],R2[SQ004],R2[SQ005],R3[SQ001],R3[SQ002],R3[SQ003],R3[SQ004],R3[SQ005],R4[SQ001],R4[SQ002],R4[SQ003],R4[SQ004],R4[SQ005],R5[SQ001],R5[SQ002],R5[SQ003],R5[SQ004],R6[SQ001],R6[SQ002],R6[SQ003],R6[SQ004],I1,I2,I3,I4[SQ001][1],I4[SQ001][2],I4[SQ002][1],I4[SQ002][2],I4[SQ003][1],I4[SQ003][2],I4[SQ004][1],I4[SQ004][2],I4[SQ005][1],I4[SQ005][2],I4[SQ006][1],I4[SQ006][2],I4[SQ007][1],I4[SQ007][2],I5[SQ001],I5[SQ002],I5[SQ003],I5[SQ004],I5[SQ005],I5[SQ006],I5[SQ007],I5[SQ008],S1[SQ001],S1[SQ002],S1[SQ003],S1[SQ004],S1[SQ005],S2[SQ001],S2[SQ002],S2[SQ003],S2[SQ004],S2[SQ005],S2[SQ006],S3[SQ001],S3[SQ002],S3[SQ003],S3[SQ004],S3[SQ005],S3[SQ006],S4[SQ001][1],S4[SQ001][2],S4[SQ002][1],S4[SQ002][2],S4[SQ003][1],S4[SQ003][2],S4[SQ004][1],S4[SQ004][2],S4[SQ005][1],S4[SQ005][2],S4[SQ006][1],S4[SQ006][2],S4[SQ007][1],S4[SQ007][2],S4[SQ008][1],S4[SQ008][2],S4[SQ009][1],S4[SQ009][2],S4[SQ010][1],S4[SQ010][2],S4[SQ011][1],S4[SQ011][2],S4[SQ012][1],S4[SQ012][2],S4[SQ013][1],S4[SQ013][2],S4[SQ015][1],S4[SQ015][2],S5[SQ001],S5[SQ002],S5[SQ003],S5[SQ004],S5[SQ005],S5[SQ006],S5[SQ007],S5[SQ008],S5[SQ009],S5[SQ010],S5[SQ011],S5part2[SQ012],S6[SQ001],S6[SQ002],S6[SQ003],S6[SQ004],S6[SQ005],M1,M2[SQ001],M2[SQ002],M2[SQ003],M2[SQ004],H1[SQ001],H1[SQ002],H1[SQ003],H1[SQ004],H1[SQ005],H1[SQ006],H1[SQ007],H2[SQ001],H2[SQ002],H2[SQ003],H2[SQ004],H2[SQ005],H2[SQ006],H2[SQ007],H4[SQ001],H4[SQ002],H4[SQ003],H4[SQ004],H4[SQ005],H3,groupTime47940,groupTime47941,groupTime47942,groupTime47943,groupTime47944,groupTime47948,groupTime47949,groupTime47964
11,Yes,,Yes,Yes,2021,2015,5,0,Post-Doctoral Fellow,0.5,0.5,0.5,1,0,0,0,0,2,Yes,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3,4,2,2,3,3,3,4,3,4,3,3,3,3,2,2,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Mostly unacceptable,Mostly acceptable,Mostly acceptable,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,Yes,No,Yes,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Extremely a reason,Slightly a reason,Extremely a reason,Not a reason at all,Extremely a reason,Not a reason at all,Strongly a reason,Strongly a reason,,4,1- Not motivating,2,1- Not motivating,2,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,4,3,3,4,3,3,11.34,127.72,154.81,184.32,304.1,6.49,83.94,72.75
12,Yes,,Yes,Yes,2020,2018,9,1,Assistant Professor (or equivalent),5,4,4,0,1,2,0,0,0,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,4,5,3,5,2,5,2,5,2,5,2,5,1,5,3,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely acceptable,Mostly acceptable,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I don't know,No,No,No,I don't know,No,I don't know,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Slightly a reason,Not a reason at all,Not a reason at all,,4,4,4,1- Not motivating,4,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,2,2,2,2,2,5 - Willing,9.87,416.38,68.46,105.81,228.56,6.87,64.22,200.31
13,Yes,,Yes,Yes,2018,2013,9,0,Associate Professor (or equivalent),1,1,1,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,4,4,4,4,4,5,4,4,5,5,3,4,5,5,4,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,Yes,No,No,Yes,Yes,No,I don't know,Yes,Yes,I don't know,I don't know,No,I don't know,Yes,Yes,No,Yes,Not a reason at all,Slightly a reason,Moderately a reason,Slightly a reason,Slightly a reason,Slightly a reason,Not a reason at all,Slightly a reason,Slightly a reason,Moderately a reason,Moderately a reason,,3,3,1- Not motivating,2,2,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,5 - High level of need,4,4,4,3,4,8.43,101.92,41.96,157.05,348.64,7.06,87.85,7.21
14,Yes,,Yes,Yes,2015,2010,13,2,Assistant Professor (or equivalent),1.4,1,1,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,3,4,4,5,5,5,5,3,3,4,5,3,3,4,4,Neither acceptable nor unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,Yes,I don't know,Yes,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,I don't know,I don't know,Yes,Yes,I don't know,I don't know,I don't know,I don't know,No,I don't know,No,I don't know,Slightly a reason,Not a reason at all,Moderately a reason,Not a reason at all,Slightly a reason,Not a reason at all,Not a reason at all,Moderately a reason,Strongly a reason,Not a reason at all,Extremely a reason,,4,5 - Highly motivating,3,2,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,2,2,1 - No need,4,4,4,17.75,522.88,99.09,297.69,410.64,11.62,113,3.55
15,Yes,,Yes,Yes,2019,2015,10,10,Post-Doctoral Fellow,1,1,0.5,0,3,0,0,2,7,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,No,Yes,5 - Very familiar,5 - Definitely yes,5,5,5,5,4,4,5,5,3,3,4,4,1,1,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Completely acceptable,Mostly unacceptable,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,I don't know,I don't know,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,No,Yes,No,No,Not a reason at all,Not a reason at all,Not a reason at all,Extremely a reason,Moderately a reason,Slightly a reason,Slightly a reason,Moderately a reason,Not a reason at all,Not a reason at all,Extremely a reason,,5 - Highly motivating,1- Not motivating,1- Not motivating,1- Not motivating,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,4,2,1 - No need,1 - No need,4,4,9.38,87.06,90.73,104.87,191.84,6.24,49.82,4.22
16,Yes,,Yes,Yes,2017,2012,10,0,Post-Doctoral Fellow,3,1,2,2,2,5,0,2,6,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,,5 - Definitely yes,1,4,5,5,5,4,4,4,3,3,5,5,5,5,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,No,I don't know,Yes,Yes,No,Yes,Not a reason at all,Not a reason at all,Moderately a reason,Moderately a reason,Moderately a reason,Not a reason at all,Slightly a reason,Strongly a reason,Moderately a reason,Slightly a reason,Moderately a reason,,4,3,4,4,4,Rarely,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,1 - No need,1 - No need,3,4,5 - High level of need,4,12.73,198.35,146.38,209.37,354.15,22.91,101.14,5.58
17,Yes,,Yes,Yes,2020,2014,12,5,Assistant Professor (or equivalent),2,2,2,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,5 - Definitely yes,4,4,4,4,4,5,4,4,4,5,4,4,4,4,Mostly acceptable,Mostly acceptable,Mostly acceptable,Mostly acceptable,Mostly acceptable,Mostly acceptable,Completely acceptable,Mostly acceptable,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Slightly a reason,Not a reason at all,Not a reason at all,Moderately a reason,4,5 - Highly motivating,1- Not motivating,3,3,Rarely,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3,2,2,2,3,4,21.28,221.15,44.26,163.61,456.78,18.17,147.9,159.85
18,No,Yes,Yes,Yes,,2020,2,0,Graduate Student,2,1,1,0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,2,4,4,4,5,2,5,3,4,4,5,5,5,5,5,5,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Mostly acceptable,Mostly acceptable,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,No,Yes,No,I don't know,No,I don't know,Yes,Yes,I don't know,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,Yes,Slightly a reason,Not a reason at all,Slightly a reason,Slightly a reason,Slightly a reason,Moderately a reason,Not a reason at all,Strongly a reason,Moderately a reason,Strongly a reason,Extremely a reason,,2,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,4,3,4,4,5 - High level of need,5 - Willing,19.2,75.57,73.56,149.65,391.96,9.91,77.32,4.69
19,No,Yes,Yes,Yes,,2023,2,5,Graduate Student,0,0,0,2,3,2,0,0,0,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,4,2,4,4,5,3,2,4,4,4,5,4,4,2,3,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Mostly unacceptable,Neither acceptable nor unacceptable,Mostly unacceptable,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,I don't know,No,Yes,No,Yes,No,Yes,No,I don't know,No,I don't know,Yes,Yes,No,I don't know,Moderately a reason,Strongly a reason,Moderately a reason,Extremely a reason,Slightly a reason,Extremely a reason,Strongly a reason,Strongly a reason,Moderately a reason,Extremely a reason,Strongly a reason,,5 - Highly motivating,4,4,5 - Highly motivating,4,Never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,2,5 - High level of need,3,4,11.5,116.01,164.27,191.32,435.34,22.92,41.57,2.82
20,Yes,,Yes,Yes,2016,2013,5,0,Assistant Professor (or equivalent),1,3,1,0,0,0,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,5 - Definitely yes,5,5,5,5,5,3,3,3,5,2,5,3,5,5,Neither acceptable nor unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Slightly a reason,Not a reason at all,Moderately a reason,Moderately a reason,Slightly a reason,Slightly a reason,Not a reason at all,Moderately a reason,Not a reason at all,Moderately a reason,Extremely a reason,,1- Not motivating,3,3,2,2,Never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,2,3,2,9.22,215.51,45.91,243.94,371.19,9.55,45.59,33.74
21,Yes,,Yes,Yes,2014,2010,5,0,Assistant Professor (or equivalent),1,1,1,3,0,0,0,0,5,Yes,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,2,3,1,3,2,3,4,5,1,3,2,3,3,3,3,3,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Mostly acceptable,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,No,Yes,I don't know,No,Yes,Yes,No,No,I don't know,I don't know,Yes,Yes,No,No,Yes,Yes,I don't know,I don't know,Yes,Yes,Yes,Yes,No,No,Not a reason at all,Not a reason at all,Strongly a reason,Slightly a reason,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Strongly a reason,Strongly a reason,,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,5 - High level of need,3,1 - No need,5 - High level of need,5 - High level of need,5 - Willing,18.36,169.37,119.3,187.45,393.21,8.6,81.28,3.63
22,Yes,,Yes,Yes,2025,2020,6,2,Other,0.5,0.5,0.5,1,0,0,0,0,0,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,5 - Definitely yes,4,3,2,2,4,3,4,3,4,2,4,3,4,5,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Neither acceptable nor unacceptable,Neither acceptable nor unacceptable,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,No,Yes,Yes,No,I don't know,Yes,Yes,I don't know,I don't know,No,I don't know,No,Yes,I don't know,Yes,Not a reason at all,Not a reason at all,Not a reason at all,Moderately a reason,Not a reason at all,Moderately a reason,Not a reason at all,Moderately a reason,Strongly a reason,Strongly a reason,Extremely a reason,,1- Not motivating,5 - Highly motivating,2,1- Not motivating,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,3,1 - No need,3,3,3,4,11.91,158.87,56.64,217.67,533.27,8.52,207.1,2.86
23,Yes,,Yes,Yes,2018,2010,15,6,Post-Doctoral Fellow,1,1,1,0,0,1,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3,4,4,4,2,2,4,5,4,5,2,1,4,3,2,2,Mostly acceptable,Neither acceptable nor unacceptable,Completely unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Completely unacceptable,Completely acceptable,Completely acceptable,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Not a reason at all,Not a reason at all,Extremely a reason,Moderately a reason,Moderately a reason,Moderately a reason,Strongly a reason,Strongly a reason,Extremely a reason,Strongly a reason,Extremely a reason,,4,3,4,4,4,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,4,4,2,2,4,3,7.59,132.95,110.91,137.9,247.66,9.12,66.26,2.69
24,Yes,,Yes,Yes,2022,2015,9,5,Assistant Professor (or equivalent),1,1,1,3,1,0,0,0,0,No,Yes,Yes,No,No,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,3,5,2,3,3,5,3,5,2,5,3,5,4,4,3,Mostly acceptable,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Mostly acceptable,Completely acceptable,Completely acceptable,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,I don't know,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,No,No,No,I don't know,No,I don't know,No,No,Yes,Yes,Yes,I don't know,No,No,No,I don't know,Yes,I don't know,Not a reason at all,Not a reason at all,Moderately a reason,Extremely a reason,Not a reason at all,Not a reason at all,Slightly a reason,Moderately a reason,Not a reason at all,Slightly a reason,Extremely a reason,Extremely a reason,3,2,4,3,4,Rarely,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,5 - High level of need,3,3,3,5 - High level of need,4,8.58,484.29,110.48,219.24,603.23,17.73,77.67,38.74
25,Yes,,Yes,Yes,1999,1995,15,0,Full Professor (or equivalent),0.2,0.2,0.2,0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3,3,3,4,3,4,3,4,3,5,2,2,2,4,1,2,Mostly unacceptable,Mostly acceptable,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,Yes,I don't know,I don't know,I don't know,Yes,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,I don't know,I don't know,Not a reason at all,Not a reason at all,Slightly a reason,Strongly a reason,Strongly a reason,Moderately a reason,Slightly a reason,Moderately a reason,Not a reason at all,Moderately a reason,Strongly a reason,Extremely a reason,3,5 - Highly motivating,3,4,4,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,3,3,3,3,3,3,19.43,484.52,102.5,400.03,822.86,25.84,1532.07,109.98
26,Yes,,Yes,Yes,2001,1994,13,0,Full Professor (or equivalent),0.4,0.4,0.2,0,0,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,3,5,3,4,3,5,4,5,4,5,3,3,3,3,3,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Mostly unacceptable,Mostly acceptable,Mostly acceptable,N/A,N/A,N/A,N/A,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,No,Yes,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,No,No,No,No,I don't know,No,No,No,I don't know,Slightly a reason,Slightly a reason,Slightly a reason,Moderately a reason,Moderately a reason,Slightly a reason,Slightly a reason,Not a reason at all,Not a reason at all,Slightly a reason,Slightly a reason,,4,5 - Highly motivating,4,3,3,Never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,3,4,3,13.58,433.05,400.26,173.31,254.33,18.86,42.24,5.82
27,Yes,,Yes,Yes,2023,2005,10,0,Associate Professor (or equivalent),7,6,7,0,0,10,0,0,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,3,5,2,5,4,5,3,5,4,5,5,4,2,5,3,Mostly unacceptable,Mostly unacceptable,Neither acceptable nor unacceptable,Completely unacceptable,Mostly unacceptable,Mostly unacceptable,Completely acceptable,Mostly acceptable,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,No,No,I don't know,I don't know,No,No,No,No,Yes,Yes,I don't know,I don't know,No,No,Yes,Yes,Yes,Yes,Not a reason at all,Slightly a reason,Slightly a reason,Slightly a reason,Strongly a reason,Moderately a reason,Slightly a reason,Not a reason at all,Slightly a reason,Slightly a reason,Strongly a reason,,3,4,5 - Highly motivating,1- Not motivating,4,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,4,1 - No need,2,3,4,3,10.95,152.08,157.69,151.34,253.62,27.43,73.02,3.55
28,Yes,,Yes,Yes,2025,2022,3,4,Post-Doctoral Fellow,1,1,1,0,0,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Neither acceptable nor unacceptable,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,I don't know,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,I don't know,Slightly a reason,Strongly a reason,Slightly a reason,Strongly a reason,Moderately a reason,Moderately a reason,Strongly a reason,Slightly a reason,Slightly a reason,Strongly a reason,Strongly a reason,,4,5 - Highly motivating,4,4,4,Never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,5 - High level of need,4,2,5 - Willing,26.6,292.94,484.25,459.27,407.31,20.75,66.58,41.65
29,Yes,,Yes,Yes,2022,2015,6,2,Post-Doctoral Fellow,1,1,1,4,1,1,0,0,6,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,5 - Definitely yes,4,5,3,4,2,3,4,4,1,3,4,5,1,4,Mostly acceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,Prefer not to answer,Mostly acceptable,N/A,N/A,N/A,N/A,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,I don't know,I don't know,Yes,Yes,No,I don't know,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Strongly a reason,Slightly a reason,Moderately a reason,Strongly a reason,Moderately a reason,Slightly a reason,Strongly a reason,Moderately a reason,Slightly a reason,Moderately a reason,Moderately a reason,,4,3,4,4,4,Never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,1 - No need,3,2,3,12.54,267.19,344.35,132.71,391.93,7.85,72.8,4.28
